"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"54","Phillip Lindsay",MIA,"vs. NYG","2 out of 5 stars","F","5.1"
"55","Khalil Herbert",CHI,"vs. ARI","2 out of 5 stars","F","5.0"
"56","Eno Benjamin",ARI,"at CHI","3 out of 5 stars","F","4.9"
"57","Kene Nwangwu",MIN,"at DET","4 out of 5 stars","F","4.8"
"58","Jermar Jefferson",DET,"vs. MIN","3 out of 5 stars","F","4.6"
"59","Kyle Juszczyk",SF,"at SEA","3 out of 5 stars","F","4.5"
"60","Tony Jones Jr.",NO,"vs. DAL","4 out of 5 stars","F","4.4"
"61","Chris Evans",CIN,"vs. LAC","3 out of 5 stars","F","4.4"
"62","Jaret Patterson",WAS,"at LV","4 out of 5 stars","F","4.1"
"63","Wayne Gallman Jr.",ATL,"vs. TB","3 out of 5 stars","F","3.9"
"64","Salvon Ahmed",MIA,"vs. NYG","2 out of 5 stars","F","3.8"
"65","Joshua Kelley",LAC,"at CIN","3 out of 5 stars","F","3.4"
"66","Benny Snell Jr.",PIT,"vs. BAL","3 out of 5 stars","F","3.3"
"67","Kalen Ballage",PIT,"vs. BAL","3 out of 5 stars","F","3.0"
"68","Austin Walter",NYJ,"vs. PHI","4 out of 5 stars","F","3.0"
"69","Jalen Richard",LV,"vs. WAS","2 out of 5 stars","F","3.0"
"70","Qadree Ollison",ATL,"vs. TB","3 out of 5 stars","F","2.6"
"71","Justin Jackson",LAC,"at CIN","3 out of 5 stars","F","2.5"
"72","C.J. Ham",MIN,"at DET","4 out of 5 stars","F","2.5"
"73","Godwin Igwebuike",DET,"vs. MIN","3 out of 5 stars","F","2.5"
"74","Zack Moss",BUF,"vs. NE","3 out of 5 stars","F","2.3"
"75","Larry Rountree III",LAC,"at CIN","3 out of 5 stars","F","2.2"
"76","Anthony McFarland Jr.",PIT,"vs. BAL","3 out of 5 stars","F","2.2"
"77","Duke Johnson Jr.",MIA,"vs. NYG","2 out of 5 stars","F","2.0"
"78","Ty'Son Williams",BAL,"at PIT","3 out of 5 stars","F","1.9"
"79","Patrick Laird",MIA,"vs. NYG","2 out of 5 stars","F","1.9"
"80","Dare Ogunbowale",JAC,"at LAR","2 out of 5 stars","F","1.8"
"81","Elijhaa Penny",NYG,"at MIA","3 out of 5 stars","F","1.8"
"82","Jordan Howard",PHI,"at NYJ","5 out of 5 stars","F","1.7"
"83","Darius Bradwell",LAC,"at CIN","3 out of 5 stars","F","1.6"
"84","Corey Clement",DAL,"at NO","1 out of 5 stars","F","1.5"
"85","Travis Homer",SEA,"vs. SF","2 out of 5 stars","F","1.5"
"86","Ty Montgomery",NO,"vs. DAL","4 out of 5 stars","F","1.5"
"87","Chase Edmonds",ARI,"at CHI","3 out of 5 stars","F","1.5"
"88","Marlon Mack",IND,"at HOU","3 out of 5 stars","F","1.5"
